S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,Founder1 Name,Founder2 Name,Founder3 Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
1,IITM,One Service,,"A private service provider for mobiles,laptops and related accessories. ",Consumer_services,Retail,Consumer Products and Services,,B2C,Warranty services for mobiles and laptops,,,,,Business Plan,Servicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,IITM,Air Ok Technologies  ,,An air purifier specially designed for Indian air pollution.,Consumer_goods,personal and household goods,Clean Technology,,B2C,Reduces air pollution,,,,,Business Plan,Pollution control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,IITM,FarmSpark,,To provide farmers with marketing and transport tools to improve their return.,Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2B,Food and agro products,Data analytics in the agriculture sector,,,,Business Plan,Transportation Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,IITM,Vantage,,News with all the necessary background information required to understand the news. The aim is not just to deliver the latest news but to increase the number of people who understand the story well enough to follow future. ,Consumer_services,Media,"Media, Advertising and Gaming",Not required,B2C,News ,,,,,Business Plan,Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,IITM,Gradient-U,,A company that solves the energy problem in a sustainable way. The goal is to utilize the high altitude winds using airborne wind power systems.,Technology,Technology Hardware & Equipment,Clean Technology,,B2B2C,Wind energy,,,,,Business Plan,Wind energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IITM,Indi milk,,The milk which is milked from the native breed cows will be collected from the farmers in rural areas and be sold to people without any processing or adding anything.,Consumer_goods,Food and beverage,Consumer Products and Services,Not required,B2C,Food and agro products,,,,,Business Plan,Food Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,IITM,Dresserz,,"A cloth servicing start-up which is targeted to function inside the IIT Madras campus and is going to come at everybody demanding for cloth stitching, water wash, detergent wash, white wash, stain removal, ironing etc. at their doorstep.",Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Clothes maintenance,Stitching and washing,,Chennai,Tamil Nadu,Business Plan,Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,IITM,ALPHA ,,"A web interface/ an app to schedule the pickup & delivery of clothes as per your convenience. They will be provided with different options like wash& iron, Just Iron and Dry wash.",Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Clothes maintenance,Mobile app,,Chennai,Tamil Nadu,Business Plan,Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,IITM,Project bazaar,,A platform ( B2B ) that has the potential to show all the live construction projects of all the categories using Google maps.,Technology,Software & Computer Services,Industrial and Business Products and Services,Not required,B2B,Software that shows all live construction sites,Construction sites,,,,,Building Materials & Fixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,IITM,FruitLET,, A healthy fruit salad subscription service for school Students and parents.,Consumer_goods,Food and beverage,Consumer Products and Services,Not required,B2C,Food and agro products,,,,,Business Plan,Food Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
